"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"COUNTRY",0,0,0,0,0,0,23,24,23,22,21,20,19,18,22,17,17,19,19,19,19,19,18,18,18,18,18,18,18
"AK-500",NA,NA,NA,NA,NA,NA,15,18,21,11,15,15,17,14,12,12,11,14,14,13,13,12,12,12,11,11,11,11,11
"AK-501",NA,NA,NA,NA,NA,NA,25,27,20,18,19,20,18,20,23,18,21,21,21,21,21,22,22,22,22,22,22,23,23
"AL-500",NA,NA,NA,NA,NA,NA,18,20,16,16,10,14,11,11,8,9,8,10,9,8,7,7,6,5,4,3,2,2,1
"AL-501",NA,NA,NA,NA,NA,NA,19,21,12,15,19,18,22,17,36,25,16,23,23,24,24,24,24,25,25,25,25,25,26
"AL-502",NA,NA,NA,NA,NA,NA,29,24,23,23,0,25,39,28,0,24,32,24,22,19,16,13,8,1,-9,-24,-51,-114,-428
"AL-503",NA,NA,NA,NA,NA,NA,15,17,19,19,19,13,17,18,22,19,24,14,14,15,16,16,16,17,17,18,18,18,18
"AL-504",NA,NA,NA,NA,NA,NA,9,16,16,16,16,19,24,12,16,10,17,18,18,17,16,16,15,14,14,13,12,12,11
"AL-505",NA,NA,NA,NA,NA,NA,3,4,15,20,15,18,9,8,2,1,6,1,0,-1,-2,-3,-4,-5,-5,-6,-6,-7,-7
"AL-506",NA,NA,NA,NA,NA,NA,19,20,28,20,19,21,16,9,8,10,20,15,15,15,15,15,15,15,15,15,15,15,15
"AL-507",NA,NA,NA,NA,NA,NA,13,13,22,15,13,16,23,24,27,39,27,22,22,23,24,24,25,25,26,26,26,27,27
"AR-500",NA,NA,NA,NA,NA,NA,5,6,5,5,9,9,10,7,3,12,10,16,17,18,19,21,22,24,26,28,30,33,36
"AR-501",NA,NA,NA,NA,NA,NA,31,22,27,30,17,22,16,12,34,23,14,13,13,12,11,10,9,7,6,5,3,2,0
"AR-503",NA,NA,NA,NA,NA,NA,7,12,18,18,7,6,5,8,8,6,10,8,8,9,9,9,10,10,11,11,11,12,12
"AR-505",NA,NA,NA,NA,NA,NA,50,34,43,48,38,41,39,24,19,14,30,3,-1,-6,-10,-14,-17,-21,-25,-28,-32,-35,-39
"AZ-500",NA,NA,NA,NA,NA,NA,26,17,16,14,12,17,14,14,19,11,12,12,12,11,11,10,10,10,9,9,9,9,8
"AZ-501",NA,NA,NA,NA,NA,NA,18,20,18,17,13,13,15,12,20,10,7,9,8,8,7,7,7,6,6,6,5,5,5
"AZ-502",NA,NA,NA,NA,NA,NA,26,31,25,25,21,18,17,17,28,14,12,14,13,13,12,12,11,11,11,10,10,10,10
"CA-500",NA,NA,NA,NA,NA,NA,9,9,9,9,15,15,8,8,16,5,8,8,8,7,7,6,6,5,5,5,4,4,4
"CA-501",NA,NA,NA,NA,NA,NA,6,7,7,7,7,7,5,4,8,5,5,7,8,8,8,8,8,8,8,8,8,9,9
"CA-502",NA,NA,NA,NA,NA,NA,18,15,13,14,9,9,4,4,11,6,6,4,4,4,4,4,4,4,4,4,4,4,4
"CA-503",NA,NA,NA,NA,NA,NA,20,19,17,14,10,9,13,13,15,8,8,10,10,9,9,9,8,8,8,8,8,8,8
"CA-504",NA,NA,NA,NA,NA,NA,13,10,8,10,10,8,9,7,13,4,5,5,4,3,3,1,0,-1,-2,-4,-5,-7,-9
"CA-505",NA,NA,NA,NA,NA,NA,10,11,12,12,10,8,8,7,13,3,7,7,6,6,6,6,6,5,5,5,5,5,5
"CA-506",NA,NA,NA,NA,NA,NA,13,13,11,11,16,16,14,14,33,10,5,8,7,5,4,2,0,-2,-4,-6,-9,-11,-14
"CA-507",NA,NA,NA,NA,NA,NA,22,19,11,9,11,11,9,10,28,12,13,10,11,11,11,11,12,12,12,13,13,13,14
"CA-508",NA,NA,NA,NA,NA,NA,12,12,15,16,17,17,14,13,14,4,10,5,3,0,-3,-6,-10,-14,-18,-23,-28,-35,-42
"CA-509",NA,NA,NA,NA,NA,NA,4,5,7,4,3,4,7,4,27,9,6,7,7,8,8,9,9,10,11,11,12,13,14
"CA-510",NA,NA,NA,NA,NA,NA,12,15,13,12,15,12,13,10,37,10,11,7,7,7,6,6,5,5,5,5,4,4,4
"CA-511",NA,NA,NA,NA,NA,NA,29,33,28,30,22,23,13,13,22,14,10,7,6,5,5,4,4,3,3,3,2,2,2
"CA-512",NA,NA,NA,NA,NA,NA,16,17,21,19,21,22,16,16,26,12,13,15,15,14,14,13,13,12,12,12,11,11,11
"CA-513",NA,NA,NA,NA,NA,NA,14,12,10,12,9,10,8,9,17,7,9,9,9,8,8,8,8,8,8,8,8,8,8
