"CoC_Number","Total_Population","median_household_income","gross_rent_50_percent_or_more_income","gross_rent_total","poverty_status_below_poverty","poverty_status_total","employment_in_labor_force","employment_not_in_labor_force","snap_received_in_past_12_months","snap_total_households","age_65_plus_male","age_65_plus_female","education_bachelors_or_higher","geographic_mobility_same_house","geographic_mobility_moved_within_state","geographic_mobility_moved_different_state","geographic_mobility_total","veteran_status_veteran","veteran_status_total","nativity_foreign_born_naturalized","nativity_foreign_born_not_citizen","nativity_total","social_security_income_households","social_security_income_total_households","ssi_income_households","median_gross_rent","median_home_value","housing_units_total","vacant_housing_units","median_age","race_white_alone","race_black_alone","race_hispanic_latino","Total_Homeless_2007","Total_Homeless_2008","Total_Homeless_2009","Total_Homeless_2010","Total_Homeless_2011","Total_Homeless_2012","Total_Homeless_2013","Total_Homeless_2014","Total_Homeless_2015","Total_Homeless_2016","Total_Homeless_2017","Total_Homeless_2018","Total_Homeless_2019","Total_Homeless_2020","Total_Homeless_2021","Total_Homeless_2022","Total_Homeless_2023","Total_Homeless_2024","Total_Homeless_2025","Total_Homeless_2026","Total_Homeless_2027","Total_Homeless_2028","Total_Homeless_2029","Total_Homeless_2030","Total_Homeless_2031","Total_Homeless_2032","Total_Homeless_2033","Total_Homeless_2034","Total_Homeless_2035","Percent_Women_2007","Percent_Women_2008","Percent_Women_2009","Percent_Women_2010","Percent_Women_2011","Percent_Women_2012","Percent_Women_2013","Percent_Women_2014","Percent_Women_2015","Percent_Women_2016","Percent_Women_2017","Percent_Women_2018","Percent_Women_2019","Percent_Women_2020","Percent_Women_2021","Percent_Women_2022","Percent_Women_2023","Percent_Women_2024","Percent_Women_2025","Percent_Women_2026","Percent_Women_2027","Percent_Women_2028","Percent_Women_2029","Percent_Women_2030","Percent_Women_2031","Percent_Women_2032","Percent_Women_2033","Percent_Women_2034","Percent_Women_2035","Percent_Children_2007","Percent_Children_2008","Percent_Children_2009","Percent_Children_2010","Percent_Children_2011","Percent_Children_2012","Percent_Children_2013","Percent_Children_2014","Percent_Children_2015","Percent_Children_2016","Percent_Children_2017","Percent_Children_2018","Percent_Children_2019","Percent_Children_2020","Percent_Children_2021","Percent_Children_2022","Percent_Children_2023","Percent_Children_2024","Percent_Children_2025","Percent_Children_2026","Percent_Children_2027","Percent_Children_2028","Percent_Children_2029","Percent_Children_2030","Percent_Children_2031","Percent_Children_2032","Percent_Children_2033","Percent_Children_2034","Percent_Children_2035"
"AK-500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,1023,1267,1231,1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709,1837,1965,2093,2221,2349,2476,2604,2732,2860,2988,3116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,37,37,36,36,36,35,35,35,34,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,13,13,12,12,12,11,11,11,11,11
"AK-500","263966.2892","81121.057892750541","6833.3055000000004","37677.6374","20888.5599","258245.87640000001","152203.8365","51757.315000000002","8515.74","95655.093900000007","1800.5724","1666.1694","15686.1795","202185.07310000001","13398.654699999999","2475.7121999999999","259646.26850000001","28369.562300000001","188566.60130000001","13317.4051","11897.498299999999","263966.2892","15739.2287","95655.093900000007","3399.9546999999998","1245.3675712766319","270420.32528004592","102661.4121","7006.3181999999997","34.087195937832369","173942.49129999999","15741.198899999999","20317.456200000001",NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","267471.36499999999","82315.834319546644","7373.3040999999994","38381.544800000003","21931.8894","261536.492","153194.9155","53625.730100000001","8789.6631999999991","95556.619000000006","1987.7226000000001","1910.9716000000001","15805.8372","208276.52770000001","13856.674999999999","2331.2411000000002","263315.63079999998","27999.3449","191756.94200000001","14087.7256","11659.672500000001","267471.36499999999","15871.457700000001","95556.619000000006","3454.0522999999998","1269.086306933074","274796.79356720991","102903.99490000001","7347.3759","33.809873762434918","174431.11350000001","16312.5232","21443.967799999999",NA,NA,NA,NA,NA,NA,1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","270302.23340000003","83048.828028895514","7784.3685999999998","39127.138299999999","23154.328300000001","263991.5417","155173.61060000001","54306.553999999996","8706.5329999999994","95616.27","2072.4594999999999","2186.1201000000001","15982.176299999999","212861.3155","13361.4689","2194.8440999999998","266195.6876","27747.514899999998","194620.7377","14915.425499999999","12145.0195","270302.23340000003","15852.398499999999","95616.27","3965.1511","1303.096690567379","275885.52820859768","103321.22","7704.9500000000007","33.537428985371157","174204.4088","16695.824199999999","22330.290400000002",NA,NA,NA,NA,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","271296.30839999998","83256.528553327051","7892.3816999999999","38917.231299999999","22776.451099999998","265004.48759999999","155615.00510000001","54595.321000000004","8543.6239999999998","95509.3799","2027.1403","2332.3024","16248.965899999999","214419.44089999999","12426.456399999999","1809.8902","267346.77710000012","26675.178899999999","195866.11739999999","15340.626099999999","12313.5291","271296.30839999998","16301.625400000001","95509.3799","4391.8820000000014","1377.217280103775","290995.53523168608","103600.24099999999","8090.8611000000001","33.487501128358737","173529.6545","16421.812000000002","23639.301299999999",NA,NA,NA,NA,NA,NA,NA,NA,1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","271326.74400000001","86231.670734763029","7904.1085999999996","38658.123500000002","22505.550200000001","264855.06689999998","155199.8812","55093.973599999998","8608.2333999999992","95270.542400000006","2300.4459999999999","2474.4643999999998","17033.647199999999","213736.18640000001","11857.2801","2103.4441999999999","267530.8187","26060.790499999999","196568.95060000001","16622.614300000001","11827.7588","271326.74400000001","16639.452000000001","95270.542400000006","4308.0568999999996","1441.7651905635969","294412.18381142517","103842.1483","8571.6059000000005","33.740234731275123","171030.30960000001","15969.0344","23835.5288",NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","271102.91739999998","88499.567340095586","7820.0690000000004","39303.791299999997","22362.573100000001","264023.68469999998","154771.1502","55778.544199999997","8442.9843000000001","96504.963900000002","2375.4971999999998","2375.7181","17309.225600000002","212975.66339999999","11488.9671","2717.4263999999998","267421.18320000003","25663.639200000001","196684.14259999999","17377.526000000002","11525.8308","271102.91739999998","17201.4094","96504.963900000002","4475.9207999999999","1457.67788070915","298717.64511258091","105357.9927","8853.0288","33.98904518400537","169794.13949999999","15517.781300000001","23940.6034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","268889.51939999999","90126.781420543557","8085.6745000000001","38811.075900000003","25291.175899999998","262390.98749999999","151991.74530000001","57277.897599999997","8905.2181999999993","96887.36069999999","2347.7939999999999","2260.1938","17701.7909","212102.11300000001","11212.7094","2422.2163999999998","265110.30719999998","26018.7719","195134.39069999999","18055.285800000001","11260.739100000001","268889.51939999999","18128.120200000001","96887.36069999999","4827.3422","1505.8859670134129","305126.8666314428","106126.2993","9238.9386000000013","34.230701896579667","166522.53140000001","15470.9846","24516.5684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","266658.03960000002","91852.244239961015","7726.3094999999994","38396.6253","24553.524700000002","260285.39309999999","149973.29250000001","58246.743000000002","9022.1434000000008","96924.113899999997","2497.7867000000001","2264.6547999999998","17598.518700000001","209773.2844","10946.5219","2567.1077","262833.55300000001","25024.846600000001","194051.011","17791.0327","11760.869699999999","266658.03960000002","19038.007900000001","96924.113899999997","4962.59","1521.719171058593","307165.1708992318","106918.253","9994.1391000000003","34.496269899942433","164161.57610000001","15379.3753","24448.238700000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-500","267264.77980000002","90409.410750111274","7274.2974000000004","37878.181600000004","23925.628499999999","260975.38","149040.6678","60396.616099999999","8940.0356000000011","97978.832800000004","2752.5486999999998","2732.8240999999998","17600.1309","213586.1256","10382.7323","2416.4167000000002","263763.33260000002","25341.572199999999","194619.75380000001","18239.018","11097.777","267264.77980000002","20248.518700000001","97978.832800000004","4223.8954000000003","1503.236553801911","310507.10684291192","108420.00290000001","10441.170099999999","34.99293950494711","161058.3039","14808.749400000001","25386.421900000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
