CoC_Number,Overall Homeless
AZ_500,2386.0
AZ_501,2209.0
AZ_502,9642.0
CA_500,9903.0
CA_501,7582.0
CA_502,9759.0
CA_503,9281.0
CA_504,2266.0
CA_505,2372.0
CA_506,2212.0
CA_507,1118.0
CA_508,1804.0
CA_509,633.0
CA_510,2091.0
CA_511,2454.0
CA_512,1859.0
CA_513,1470.0
CA_514,4493.0
CA_515,709.0
CA_516,2521.0
CA_517,506.0
CA_518,1200.0
CA_519,1237.0
CA_520,784.0
CA_521,737.0
CA_522,1656.0
CA_523,360.0
CA_524,963.0
CA_525,491.0
CA_526,731.0
CA_527,304.0
CA_529,460.0
CA_530,88.0
CA_531,492.0
CA_600,71320.0
CA_601,10264.0
CA_602,6050.0
CA_603,1887.0
CA_604,1948.0
CA_606,3447.0
CA_607,556.0
CA_608,3725.0
CA_609,4195.0
CA_611,2441.0
CA_612,195.0
CA_613,1303.0
CA_614,1532.0
CT_503,597.0
CT_505,2418.0
MA_500,5202.0
MA_502,1094.0
MA_503,427.0
MA_504,2683.0
MA_505,695.0
MA_506,1607.0
MA_507,622.0
MA_509,474.0
MA_511,1472.0
MA_515,433.0
MA_516,4432.0
ME_500,4258.0
NH_500,1555.0
NH_501,538.0
NH_502,348.0
NJ_500,440.0
NJ_501,390.0
NJ_502,933.0
NJ_503,1167.0
NJ_504,1594.0
NJ_506,920.0
NJ_507,660.0
NJ_508,483.0
NJ_509,465.0
NJ_510,434.0
NJ_511,392.0
NJ_512,67.0
NJ_513,338.0
NJ_514,714.0
NJ_515,848.0
NJ_516,419.0
NM_500,2394.0
NM_501,1448.0
NV_500,6566.0
NV_501,1690.0
NV_502,410.0
NY_500,803.0
NY_501,594.0
NY_503,889.0
NY_505,924.0
NY_507,430.0
NY_508,1560.0
NY_510,273.0
NY_511,676.0
NY_512,156.0
NY_513,426.0
NY_514,136.0
NY_518,282.0
NY_519,135.0
NY_520,63.0
NY_522,182.0
NY_523,332.0
NY_525,687.0
NY_600,88025.0
NY_601,691.0
NY_602,491.0
NY_603,3536.0
NY_604,1317.0
NY_606,157.0
NY_608,435.0
OK_500,214.0
OK_501,1133.0
OK_502,1436.0
OK_503,339.0
OK_504,213.0
OK_505,331.0
OK_506,409.0
OK_507,573.0
PA_500,4725.0
PA_501,353.0
PA_502,360.0
PA_503,138.0
PA_504,357.0
PA_505,436.0
PA_506,554.0
PA_508,234.0
PA_509,2024.0
PA_510,526.0
PA_511,320.0
PA_512,332.0
PA_600,1026.0
PA_601,730.0
PA_603,70.0
PA_605,371.0
RI_500,1810.0
TX_500,3155.0
TX_503,2374.0
TX_600,4244.0
TX_601,2776.0
TX_603,1112.0
TX_604,242.0
TX_607,9065.0
TX_611,683.0
TX_624,264.0
TX_700,3270.0
TX_701,192.0
UT_500,2297.0
UT_503,1165.0
UT_504,225.0
VT_500,2537.0
VT_501,758.0
