CoC_Number,microhome_cost
AZ_502,15585836.08474692
AZ_500,9923119.835687175
AZ_501,10565266.239638435
CA_521,21711467.856847674
CA_519,14960386.325488139
CA_526,15202086.602852218
CA_510,15489315.86781349
CA_517,30963023.203895368
CA_529,11352616.193369433
CA_516,11540453.05658953
CA_511,18046965.07857704
CA_518,21081408.308815215
CA_527,11148263.186813187
CA_520,13465076.15196918
CA_602,32747492.468875967
CA_604,10706024.945786998
CA_603,31669821.890893266
CA_611,27406427.091004856
CA_502,37971879.39338234
CA_505,32760169.38217985
CA_504,28109657.958401505
CA_503,18139453.111858513
CA_525,23438919.609566346
CA_522,15402253.221021961
CA_514,12471787.331560813
CA_513,10821551.493880045
CA_512,53094227.48644039
CA_515,24285426.282444507
CA_523,12994941.04572014
CA_524,13610738.452073608
CA_606,25347584.24258725
CA_601,29445062.06787909
CA_608,18365355.633882247
CA_609,17177620.512225617
CA_600,30122991.976263303
CA_607,36248625.81358207
CA_614,28488552.681019694
CA_613,9487743.852924032
CA_612,32767885.41688873
CA_506,26664873.58448992
CA_501,51522375.58645269
CA_508,34454274.09984816
CA_530,15845546.547063895
CA_531,21995599.028853483
CA_509,17865020.012081515
CA_500,49308292.41263928
CA_507,49356734.38997468
CT_503,21985868.19192957
CT_505,11020152.131200772
ME_500,10187817.037031913
MA_507,12085248.471233206
MA_500,26866799.708720393
MA_509,39406573.97407926
MA_506,14331194.490995986
MA_515,12563886.794686306
MA_503,23858090.946856923
MA_504,9842773.71297626
MA_505,11569803.88724668
MA_502,16636458.812552929
MA_511,19398865.98835419
MA_516,25150766.91925609
NV_502,12855142.98008221
NV_501,18806334.778873358
NV_500,14239377.821516119
NH_501,11915719.617034176
NH_500,13236053.553810347
NH_502,14441270.80475939
NJ_509,20922522.533431303
NJ_500,9514027.900687953
NJ_507,16122660.339883082
NJ_506,19617350.85277501
NJ_501,21795910.41185348
NJ_508,21396960.667203262
NJ_512,7935736.155868843
NJ_515,18021595.650141478
NJ_514,14512110.518619481
NJ_513,19734701.182832036
NJ_504,17397174.502424713
NJ_503,9909509.923002835
NJ_502,12277375.374847159
NJ_516,14207886.739968238
NJ_511,14806974.801947774
NJ_510,14881099.013104862
NM_500,9833166.94513559
NM_501,8266729.580355993
NY_508,7584680.949479294
NY_501,5038656.28814529
NY_507,7816867.259476324
NY_500,7227523.721756077
NY_513,6820060.164847499
NY_514,4512746.776061034
NY_522,5516738.485089138
NY_525,7840820.493270792
NY_523,10727662.04085641
NY_512,8678046.95615073
NY_608,11616109.889172586
NY_601,12865417.553726472
NY_606,21061438.94005613
NY_600,31013929.22205613
NY_505,6390306.007152545
NY_503,9812338.878059765
NY_510,10885746.303741384
NY_519,10384205.705416497
NY_520,6582982.007528712
NY_518,6132155.3280414045
NY_511,5588444.150523144
NY_602,14006363.114190856
NY_603,22886049.102698725
NY_604,23662814.03975362
OK_506,5217164.385714701
OK_501,7842544.019106491
OK_500,6010319.957954282
OK_507,5033127.706168349
OK_502,7513883.584598372
OK_505,6244256.131495899
OK_504,7888154.253852265
OK_503,7309972.462990481
PA_504,15686746.03923368
PA_503,5933494.505415394
PA_502,12378154.925943505
PA_505,17213100.272748236
PA_511,16117279.369608678
PA_510,10192637.399914617
PA_603,6595825.650176956
PA_605,5980293.137316564
PA_500,9300428.195810176
PA_509,8124987.107000675
PA_508,6737036.050501535
PA_506,8216610.769829976
PA_501,7441818.766388456
PA_512,8306931.959974922
PA_600,8751480.338206405
PA_601,6533435.300264143
RI_500,13889598.918431185
TX_604,7065383.712867583
TX_603,6273783.088555032
TX_701,8919791.765900776
TX_503,19359850.379557148
TX_700,11117854.110119881
TX_611,6321465.571592462
TX_601,11376524.368116809
TX_600,13825324.203153975
TX_607,8320568.499825566
TX_500,9292845.158698114
TX_624,6539501.673129586
UT_500,18340381.78307127
UT_503,14772315.15295718
UT_504,19513424.947356783
VT_500,9837594.70364079
VT_501,15408265.520578766
