 THU price [$] , Factory scale factor [-] , Shipping cost [$/mile] , Budget [$] , status , THU built , Factories build , Cost [$] 
" 3,000 ", 30 , 1 ," 50,000,000 ", 2 ," 12,431 ", 3 ," 50,000,000 "
" 3,000 ", 30 , 1 ," 100,000,000 ", 2 ," 25,000 ", 5 ," 99,999,952 "
" 3,000 ", 30 , 1 ," 150,000,000 ", 2 ," 37,507 ", 8 ," 150,000,000 "
" 3,000 ", 30 , 1 ," 200,000,000 ", 2 ," 50,000 ", 10 ," 198,816,041 "
" 3,000 ", 30 , 2 ," 50,000,000 ", 2 ," 12,306 ", 3 ," 50,000,000 "
" 3,000 ", 30 , 2 ," 100,000,000 ", 2 ," 25,000 ", 5 ," 98,572,484 "
" 3,000 ", 30 , 2 ," 150,000,000 ", 2 ," 37,029 ", 8 ," 150,000,000 "
" 3,000 ", 30 , 2 ," 200,000,000 ", 2 ," 49,642 ", 10 ," 200,000,000 "
" 3,000 ", 30 , 5 ," 50,000,000 ", 2 ," 12,064 ", 3 ," 50,000,000 "
" 3,000 ", 30 , 5 ," 100,000,000 ", 2 ," 24,649 ", 5 ," 100,000,000 "
" 3,000 ", 30 , 5 ," 150,000,000 ", 2 ," 35,846 ", 8 ," 150,000,000 "
" 3,000 ", 30 , 5 ," 200,000,000 ", 2 ," 47,986 ", 10 ," 200,000,000 "
" 3,000 ", 33 , 1 ," 50,000,000 ", 2 ," 12,032 ", 3 ," 50,000,000 "
" 3,000 ", 33 , 1 ," 100,000,000 ", 2 ," 25,000 ", 5 ," 99,491,643 "
" 3,000 ", 33 , 1 ," 150,000,000 ", 2 ," 36,352 ", 8 ," 150,000,000 "
" 3,000 ", 33 , 1 ," 200,000,000 ", 2 ," 48,900 ", 10 ," 200,000,000 "
" 3,000 ", 33 , 2 ," 50,000,000 ", 2 ," 11,916 ", 3 ," 50,000,000 "
" 3,000 ", 33 , 2 ," 100,000,000 ", 2 ," 24,790 ", 5 ," 100,000,000 "
" 3,000 ", 33 , 2 ," 150,000,000 ", 2 ," 35,909 ", 8 ," 150,000,000 "
" 3,000 ", 33 , 2 ," 200,000,000 ", 2 ," 48,215 ", 10 ," 200,000,000 "
" 3,000 ", 33 , 5 ," 50,000,000 ", 2 ," 11,668 ", 3 ," 50,000,000 "
" 3,000 ", 33 , 5 ," 100,000,000 ", 2 ," 23,999 ", 5 ," 100,000,000 "
" 3,000 ", 33 , 5 ," 150,000,000 ", 2 ," 35,000 ", 7 ," 146,575,621 "
" 3,000 ", 33 , 5 ," 200,000,000 ", 2 ," 46,674 ", 10 ," 200,000,000 "
" 3,000 ", 36 , 1 ," 50,000,000 ", 2 ," 11,631 ", 3 ," 50,000,000 "
" 3,000 ", 36 , 1 ," 100,000,000 ", 2 ," 24,491 ", 5 ," 100,000,000 "
" 3,000 ", 36 , 1 ," 150,000,000 ", 2 ," 35,195 ", 8 ," 150,000,000 "
" 3,000 ", 36 , 1 ," 200,000,000 ", 2 ," 47,421 ", 10 ," 200,000,000 "
" 3,000 ", 36 , 2 ," 50,000,000 ", 2 ," 11,522 ", 3 ," 50,000,000 "
" 3,000 ", 36 , 2 ," 100,000,000 ", 2 ," 24,144 ", 5 ," 100,000,000 "
" 3,000 ", 36 , 2 ," 150,000,000 ", 2 ," 35,000 ", 7 ," 149,999,950 "
" 3,000 ", 36 , 2 ," 200,000,000 ", 2 ," 46,777 ", 10 ," 200,000,000 "
" 3,000 ", 36 , 5 ," 50,000,000 ", 2 ," 11,271 ", 3 ," 50,000,000 "
" 3,000 ", 36 , 5 ," 100,000,000 ", 2 ," 23,375 ", 5 ," 100,000,000 "
" 3,000 ", 36 , 5 ," 150,000,000 ", 2 ," 35,000 ", 7 ," 149,869,763 "
" 3,000 ", 36 , 5 ," 200,000,000 ", 2 ," 45,341 ", 10 ," 200,000,000 "
" 3,000 ", 39 , 1 ," 50,000,000 ", 2 ," 11,229 ", 3 ," 50,000,000 "
" 3,000 ", 39 , 1 ," 100,000,000 ", 2 ," 23,817 ", 5 ," 100,000,000 "
" 3,000 ", 39 , 1 ," 150,000,000 ", 2 ," 35,000 ", 7 ," 149,999,994 "
" 3,000 ", 39 , 1 ," 200,000,000 ", 2 ," 45,947 ", 10 ," 200,000,000 "
" 3,000 ", 39 , 2 ," 50,000,000 ", 2 ," 11,129 ", 3 ," 50,000,000 "
" 3,000 ", 39 , 2 ," 100,000,000 ", 2 ," 23,499 ", 5 ," 100,000,000 "
" 3,000 ", 39 , 2 ," 150,000,000 ", 2 ," 35,000 ", 7 ," 149,999,977 "
" 3,000 ", 39 , 2 ," 200,000,000 ", 2 ," 45,345 ", 10 ," 200,000,000 "
" 3,000 ", 39 , 5 ," 50,000,000 ", 2 ," 10,873 ", 3 ," 50,000,000 "
" 3,000 ", 39 , 5 ," 100,000,000 ", 2 ," 22,750 ", 5 ," 100,000,000 "
" 3,000 ", 39 , 5 ," 150,000,000 ", 2 ," 34,117 ", 7 ," 150,000,000 "
" 3,000 ", 39 , 5 ," 200,000,000 ", 2 ," 45,000 ", 9 ," 198,708,583 "
" 4,000 ", 30 , 1 ," 50,000,000 ", 2 ," 10,000 ", 2 ," 48,386,723 "
" 4,000 ", 30 , 1 ," 100,000,000 ", 2 ," 20,000 ", 4 ," 97,641,683 "
" 4,000 ", 30 , 1 ," 150,000,000 ", 2 ," 30,000 ", 6 ," 149,999,980 "
" 4,000 ", 30 , 1 ," 200,000,000 ", 2 ," 40,000 ", 8 ," 197,821,315 "
" 4,000 ", 30 , 2 ," 50,000,000 ", 2 ," 10,000 ", 2 ," 48,665,323 "
" 4,000 ", 30 , 2 ," 100,000,000 ", 2 ," 20,000 ", 4 ," 98,430,963 "
" 4,000 ", 30 , 2 ," 150,000,000 ", 2 ," 30,000 ", 6 ," 148,845,335 "
" 4,000 ", 30 , 2 ," 200,000,000 ", 2 ," 40,000 ", 8 ," 199,706,496 "
" 4,000 ", 30 , 5 ," 50,000,000 ", 2 ," 10,000 ", 2 ," 49,508,482 "
" 4,000 ", 30 , 5 ," 100,000,000 ", 2 ," 19,952 ", 4 ," 100,000,000 "
" 4,000 ", 30 , 5 ," 150,000,000 ", 2 ," 29,508 ", 6 ," 150,000,000 "
" 4,000 ", 30 , 5 ," 200,000,000 ", 2 ," 39,008 ", 8 ," 200,000,000 "
" 4,000 ", 33 , 1 ," 50,000,000 ", 2 ," 10,000 ", 2 ," 49,197,617 "
" 4,000 ", 33 , 1 ," 100,000,000 ", 2 ," 20,000 ", 4 ," 99,291,824 "
" 4,000 ", 33 , 1 ," 150,000,000 ", 2 ," 30,000 ", 6 ," 149,895,171 "
" 4,000 ", 33 , 1 ," 200,000,000 ", 2 ," 39,658 ", 8 ," 200,000,000 "
" 4,000 ", 33 , 2 ," 50,000,000 ", 2 ," 10,000 ", 2 ," 49,476,149 "
" 4,000 ", 33 , 2 ," 100,000,000 ", 2 ," 19,969 ", 4 ," 100,000,000 "
" 4,000 ", 33 , 2 ," 150,000,000 ", 2 ," 29,664 ", 6 ," 150,000,000 "
" 4,000 ", 33 , 2 ," 200,000,000 ", 2 ," 39,227 ", 8 ," 200,000,000 "
" 4,000 ", 33 , 5 ," 50,000,000 ", 2 ," 9,926 ", 2 ," 50,000,000 "
" 4,000 ", 33 , 5 ," 100,000,000 ", 2 ," 19,537 ", 4 ," 100,000,000 "
" 4,000 ", 33 , 5 ," 150,000,000 ", 2 ," 28,894 ", 6 ," 150,000,000 "
" 4,000 ", 33 , 5 ," 200,000,000 ", 2 ," 38,176 ", 8 ," 200,000,000 "
" 4,000 ", 36 , 1 ," 50,000,000 ", 2 ," 9,998 ", 2 ," 50,000,000 "
" 4,000 ", 36 , 1 ," 100,000,000 ", 2 ," 19,772 ", 4 ," 100,000,000 "
