"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"COUNTRY",0,0,0,0,0,0,0,35,40,40,39,39,39,38,41,38,38,39,39,39,39,39,39,39,39,39,39,39,39
"AK-500",NA,NA,NA,NA,NA,NA,NA,40,38,39,39,41,38,40,31,38,32,38,37,37,36,36,36,35,35,35,34,34,34
"AK-501",NA,NA,NA,NA,NA,NA,NA,51,43,45,45,46,43,46,41,39,49,46,46,46,46,46,46,46,46,46,46,47,47
"AL-500",NA,NA,NA,NA,NA,NA,NA,27,33,38,31,34,36,35,28,28,30,34,33,32,32,31,30,30,29,28,27,26,26
"AL-501",NA,NA,NA,NA,NA,NA,NA,38,30,35,37,36,43,39,44,39,38,43,43,43,44,44,44,44,44,45,45,45,45
"AL-502",NA,NA,NA,NA,NA,NA,NA,52,58,65,46,54,56,42,46,73,60,51,52,54,55,57,59,62,67,75,88,119,271
"AL-503",NA,NA,NA,NA,NA,NA,NA,37,36,37,36,40,44,40,42,42,37,34,33,33,32,32,31,31,30,30,29,29,29
"AL-504",NA,NA,NA,NA,NA,NA,NA,40,45,49,28,43,42,33,42,24,39,38,37,36,35,34,33,32,30,29,28,27,25
"AL-505",NA,NA,NA,NA,NA,NA,NA,31,41,47,41,34,35,38,7,37,37,29,29,29,28,28,28,28,28,28,28,27,27
"AL-506",NA,NA,NA,NA,NA,NA,NA,35,40,46,44,49,39,24,22,50,39,29,28,28,28,27,27,26,26,26,25,25,25
"AL-507",NA,NA,NA,NA,NA,NA,NA,51,45,42,35,48,48,50,55,62,50,51,52,52,53,53,53,54,54,54,54,55,55
"AR-500",NA,NA,NA,NA,NA,NA,NA,20,27,28,33,34,39,30,35,33,39,44,45,47,49,51,53,55,58,61,64,68,72
"AR-501",NA,NA,NA,NA,NA,NA,NA,32,45,48,41,43,39,38,46,36,39,42,42,42,42,41,41,41,41,41,40,40,40
"AR-503",NA,NA,NA,NA,NA,NA,NA,59,45,52,43,43,34,36,38,39,40,33,32,32,31,31,30,30,29,29,28,28,28
"AR-505",NA,NA,NA,NA,NA,NA,NA,54,53,54,59,71,57,53,58,35,38,49,45,42,38,34,31,28,24,21,18,15,12
"AZ-500",NA,NA,NA,NA,NA,NA,NA,31,43,37,38,34,38,42,42,38,36,38,38,38,38,38,38,38,38,38,38,38,38
"AZ-501",NA,NA,NA,NA,NA,NA,NA,37,36,33,31,33,36,31,42,39,28,32,32,32,31,31,31,31,31,31,31,31,31
"AZ-502",NA,NA,NA,NA,NA,NA,NA,40,40,40,39,36,37,39,44,35,35,36,36,36,36,36,35,35,35,35,35,35,35
"CA-500",NA,NA,NA,NA,NA,NA,NA,10,27,28,33,32,36,36,37,37,36,36,37,37,37,38,38,38,38,38,39,39,39
"CA-501",NA,NA,NA,NA,NA,NA,NA,13,27,22,25,28,34,34,32,34,33,32,33,33,33,33,34,34,34,34,35,35,35
"CA-502",NA,NA,NA,NA,NA,NA,NA,22,38,38,41,41,35,35,40,37,37,31,30,30,30,29,29,29,29,29,29,28,28
"CA-503",NA,NA,NA,NA,NA,NA,NA,30,35,34,32,32,38,37,51,33,33,34,34,33,33,33,33,33,33,33,33,32,32
"CA-504",NA,NA,NA,NA,NA,NA,NA,9,32,32,30,39,31,27,42,35,38,37,37,38,39,39,40,41,42,44,45,46,48
"CA-505",NA,NA,NA,NA,NA,NA,NA,16,38,37,35,38,37,35,42,41,36,38,39,39,39,39,39,39,39,39,39,39,40
"CA-506",NA,NA,NA,NA,NA,NA,NA,12,30,32,35,35,35,35,47,27,26,37,36,36,35,35,34,33,33,32,31,30,30
"CA-507",NA,NA,NA,NA,NA,NA,NA,35,28,28,31,31,33,32,44,39,38,38,39,40,42,43,44,45,47,48,49,50,51
"CA-508",NA,NA,NA,NA,NA,NA,NA,8,34,34,26,27,33,33,40,32,31,33,34,34,35,36,37,38,40,41,43,44,46
"CA-509",NA,NA,NA,NA,NA,NA,NA,6,34,31,33,35,36,35,53,32,33,36,35,35,35,35,35,34,34,34,34,33,33
"CA-510",NA,NA,NA,NA,NA,NA,NA,44,27,36,37,35,37,35,54,34,35,35,35,35,35,35,35,35,34,34,34,34,34
"CA-511",NA,NA,NA,NA,NA,NA,NA,40,41,42,39,41,37,35,37,38,37,38,38,38,38,38,38,38,38,38,38,38,38
"CA-512",NA,NA,NA,NA,NA,NA,NA,16,37,39,37,36,33,33,44,32,32,31,31,31,30,30,30,30,30,29,29,29,29
"CA-513",NA,NA,NA,NA,NA,NA,NA,38,38,40,39,40,40,42,44,37,38,37,37,37,36,36,36,36,36,36,35,35,35
"CA-514",NA,NA,NA,NA,NA,NA,NA,29,31,34,32,33,34,35,43,36,36,34,34,34,35,35,35,35,35,35,35,35,35
"CA-515",NA,NA,NA,NA,NA,NA,NA,14,38,38,38,35,37,35,42,37,36,38,38,39,39,39,40,40,41,41,42,43,43
"CA-516",NA,NA,NA,NA,NA,NA,NA,58,32,37,36,36,38,37,46,38,39,38,38,38,39,39,39,39,39,39,39,39,39
"CA-517",NA,NA,NA,NA,NA,NA,NA,34,38,40,39,31,34,28,35,34,37,34,35,35,36,36,37,37,38,38,38,39,39
"CA-518",NA,NA,NA,NA,NA,NA,NA,13,32,34,30,29,26,27,44,33,33,27,27,28,28,28,28,28,29,29,29,29,29
"CA-519",NA,NA,NA,NA,NA,NA,NA,19,37,35,33,36,38,36,51,41,35,36,36,36,36,36,35,35,35,35,35,35,35
"CA-520",NA,NA,NA,NA,NA,NA,NA,24,37,32,34,30,35,35,21,37,36,35,35,36,36,36,37,37,37,37,38,38,38
"CA-521",NA,NA,NA,NA,NA,NA,NA,26,38,42,40,46,35,34,47,36,36,36,36,35,35,35,34,34,34,34,34,33,33
